"source_id","type","name","url","usage"
"S001","official","Google Search Central","https://developers.google.com/search","SEO方針と構造化データの確認"
"S002","official","Schema.org","https://schema.org","構造化データ種別の確認"
"S003","benchmark","Red Bull","https://www.redbull.com","商品ではなく文化を主語にする参考"
"S004","benchmark","Patagonia","https://www.patagonia.com/stories/","思想と活動を主語にする参考"
"S005","benchmark","サイボウズ式","https://cybozushiki.cybozu.co.jp/","製品ではなく働き方を扱う参考"
"S006","benchmark","北欧、暮らしの道具店","https://hokuohkurashi.com/","商品と読み物の距離感の参考"
"S007","benchmark","note","https://note.com/","読み物UIと個人の声の参考"
"S008","benchmark","デイリーポータルZ","https://dailyportalz.jp/","実験・観察記事の参考"
"S009","official","Google Search Central: AI features and your website","https://developers.google.com/search/docs/appearance/ai-features","AI検索でも通常のSEO基盤が必要であることの確認"
"S010","official","Google Search Central: Article structured data","https://developers.google.com/search/docs/appearance/structured-data/article","記事の著者・日付・見出し情報の設計"
"S011","official","OpenAI Crawlers","https://developers.openai.com/api/docs/bots","OAI-SearchBotとChatGPT-Userの制御方法"
"S012","research","GEO: Generative Engine Optimization","https://doi.org/10.1145/3637528.3671900","生成エンジン内の可視性研究と限界の確認"
"S013","official","Bing Webmaster Tools AI Performance","https://blogs.bing.com/webmaster/February-2026-284b440771373a5a245425a5d31a8ad6/Introducing-AI-Performance-in-Bing-Webmaster-Tools-Public-Preview","AI回答内の引用計測方法の確認"
"S014","official","令和3年社会生活基本調査","https://www.stat.go.jp/data/shakai/2021/index.html","暮らし・人物記事の生活時間と行動の背景資料"
"S015","official","消費者政策","https://www.caa.go.jp/policies/","暮らし・消費記事の公的資料"
"S016","official","学校教育","https://www.mext.go.jp/a_menu/01_c.htm","学校・学び記事の公的資料"
"S017","official","学習指導要領","https://www.mext.go.jp/a_menu/shotou/new-cs/index.htm","教育課程記事の公式資料"
"S018","official","働き方改革","https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000148322.html","仕事・組織記事の制度資料"
"S019","official","働くときの基礎知識","https://www.check-roudou.mhlw.go.jp/study/","労働記事の公式教材"
"S020","official","2025年版 小規模企業白書","https://www.chusho.meti.go.jp/pamflet/hakusyo/2025/shokibo/index.html","小さな商売記事の背景資料"
"S021","official","地方創生","https://www.chisou.go.jp/sousei/","地域記事の公的資料"
"S022","official","地域循環共生圏","https://www.env.go.jp/recycle/circul/area_cases.html","環境・再利用記事の公的資料"
"S023","official","デジタル庁デザインシステム アクセシビリティ","https://design.digital.go.jp/guidance/accessibility/","UI・情報設計記事の公式ガイダンス"
"S024","official","IPA AIセキュリティ","https://www.ipa.go.jp/digital/ai/security/index.html","AI記事の安全性に関する公的資料"
"S025","official","個人情報保護法令・ガイドライン","https://www.ppc.go.jp/personalinfo/legal/","データを扱う記事の法令・ガイドライン"
"S026","official","Google SEO Starter Guide","https://developers.google.com/search/docs/fundamentals/seo-starter-guide","検索エンジンの理解とキーワード詰め込み回避の確認"
"S027","official","Creating helpful, reliable, people-first content","https://developers.google.com/search/docs/fundamentals/creating-helpful-content","検索流入だけを目的にしない記事品質の確認"
"S028","official","Control your snippets in search results","https://developers.google.com/search/docs/appearance/snippet","検索ごとのスニペット生成と説明文設計の確認"
"S029","official","Influencing title links in Google Search","https://developers.google.com/search/docs/advanced/appearance/good-titles-snippets","title・H1・リンク文言の整合性確認"
